timestamp,vx_input,vx_setpoint,vx_output,vy_input,vy_setpoint,vy_output
355.517,1209.12,175,-0.2,15.0149,1166,0.2
355.527,1209.12,175,-0.2,15.0149,1166,0.2
355.537,1210.4,175,-0.2,14.9691,1166,0.2
355.547,1210.31,175,-0.2,14.6543,1166,0.2
355.557,1210.31,175,-0.2,14.6543,1166,0.2
355.567,1210.23,175,-0.2,14.3866,1166,0.2
355.577,1210.1,175,-0.2,13.9658,1166,0.2
355.587,1210.1,175,-0.2,13.9658,1166,0.2
355.597,1210.95,175,-0.2,14.0984,1166,0.2
355.607,1212.27,175,-0.2,14.307,1166,0.2
355.617,1212.79,175,-0.2,14.3884,1166,0.2
355.627,1212.79,175,-0.2,14.3884,1166,0.2
355.637,1214.15,175,-0.2,14.5165,1166,0.2
355.647,1214.68,175,-0.2,14.5665,1166,0.2
355.657,1214.68,175,-0.2,14.5665,1166,0.2
355.667,1215.14,175,-0.2,14.6091,1166,0.2
355.677,1215.85,175,-0.2,14.4012,1166,0.2
355.687,1215.85,175,-0.2,14.4012,1166,0.2
355.697,1216.13,175,-0.2,14.32,1166,0.2
355.707,1217.16,175,-0.2,14.1924,1166,0.2
355.717,1217.83,175,-0.2,14.1425,1166,0.2
355.727,1217.83,175,-0.2,14.1425,1166,0.2
355.737,1218.41,175,-0.2,14.1001,1166,0.2
355.747,1219.31,175,-0.2,14.0335,1166,0.2
355.757,1219.31,175,-0.2,14.0335,1166,0.2
355.767,1219.66,175,-0.2,14.0075,1166,0.2
355.777,1220.22,175,-0.2,13.9665,1166,0.2
355.787,1221.03,175,-0.2,14.0991,1166,0.2
355.797,1221.03,175,-0.2,14.0991,1166,0.2
355.807,1222.3,175,-0.2,14.3074,1166,0.2
355.817,1222.8,175,-0.2,14.3888,1166,0.2
355.827,1222.8,175,-0.2,14.3888,1166,0.2
355.837,1223.82,175,-0.2,14.458,1166,0.2
355.847,1225.42,175,-0.2,14.5668,1166,0.2
355.857,1226.04,175,-0.2,14.6093,1166,0.2
355.867,1226.04,175,-0.2,14.6093,1166,0.2
355.877,1228.12,175,-0.2,14.4013,1166,0.2
355.887,1228.93,175,-0.2,14.3201,1166,0.2
355.897,1228.93,175,-0.2,14.3201,1166,0.2
355.907,1229.63,175,-0.2,14.2511,1166,0.2
355.917,1230.71,175,-0.2,14.4173,1166,0.2
355.927,1230.71,175,-0.2,14.4173,1166,0.2
355.937,1231.5,175,-0.2,14.5374,1166,0.2
355.947,1232.4,175,-0.2,14.5843,1166,0.2
355.957,1232.4,175,-0.2,14.5843,1166,0.2
355.967,1233.16,175,-0.2,14.6241,1166,0.2
355.977,1234.37,175,-0.2,14.6868,1166,0.2
355.987,1235.13,175,-0.2,14.1173,1166,0.2
355.997,1235.13,175,-0.2,14.1173,1166,0.2
356.007,1236.34,175,-0.2,13.2217,1166,0.2
356.017,1236.81,175,-0.2,12.872,1166,0.2
356.027,1236.81,175,-0.2,12.872,1166,0.2
356.037,1237.21,175,-0.2,13.1687,1166,0.2
356.047,1237.84,175,-0.2,13.6352,1166,0.2
356.057,1238.09,175,-0.2,13.8175,1166,0.2
356.067,1238.09,175,-0.2,13.8175,1166,0.2
356.077,1239.02,175,-0.2,14.104,1166,0.2
356.087,1239.39,175,-0.2,14.2159,1166,0.2
